id,snr_db,transcript,hypothesis_degraded,hypothesis_enhanced,pesq_degraded,pesq_enhanced,delta_pesq,stoi_degraded,stoi_enhanced,delta_stoi,wer_degraded,wer_enhanced,wer_reduction
test_0025,-4.1,if i applaud the freedom which its inhabitants enjoy he answers freedom is a fine thing but few nations are worthy to enjoy it,"If I am full of the fleet, we have the joy key on. Freedom is a fine thing. A few nations are working to enjoy it.","If I am wrong, I'm afraid it. It's a joy. It's a joy. It's a joy. It's a joy. It's a fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing.",1.12,1.225,0.105,0.683,0.689,0.006,0.5,13.792,-13.292
test_0026,8.85,the merchant's daughter at first did not answer but as he kept on calling to her she finally asked him what it was that he wanted,"The merchant's daughter at first did not answer, but as he kept them calling their her, she finally asked him what it was that he wanted.","The merchant's daughter at first did not answer, but as he kept on calling to her, she finally asked him what it was that he wanted.",1.126,2.147,1.021,0.818,0.849,0.032,0.074,0.0,0.074
test_0027,17.98,he survived the war only to be murdered later on a plantation in mississippi,He survived the war only to be murdered later on a plantation in Mississippi.,He survived the war only to be murdered later on a plantation in Mississippi.,1.103,1.74,0.637,0.76,0.815,0.055,0.0,0.0,0.0
test_0028,-2.09,at one thirty he went to rector's for lunch and when he returned a messenger was waiting for him,"At 130, he went to record the launch, and then he returned, but that's where he was waiting for him.",A 130 he went to record the launch and the he returned the bus there was waiting for him.,1.1,1.533,0.433,0.641,0.744,0.103,0.6,0.55,0.05
test_0029,14.75,every year at a certain day of a certain month he went away to a distant city to collect money on an account,"Every year, at a certain day of a 13 months, you went away to a different city to collect money when they come.","Every year at a certain day of a certain month, you went away to a distance city to collect money when they count.",1.106,2.071,0.965,0.814,0.864,0.049,0.348,0.217,0.13
test_0030,3.65,no letter had come no word of any kind and yet here it was late in the evening and she had agreed to meet him that morning,"The weather had come, the words at any time, and yet here it was late in the evening, and she had agreed to meet us at morning.","The letter hits up, the word at any time, and yet here it was, late isn't easy. And she had agreed to meet in that morning.",1.139,1.665,0.526,0.696,0.788,0.091,0.296,0.37,-0.074
test_0031,18.07,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed,"For some reason, he felt as if something might come that way and was relieved when all the envelopes had been scanned as nothing suspicious noticed.","For some reason, he tells us if something might come that way and was released when all the envelopes have been scanned is nothing suspicious notice.",1.161,2.088,0.927,0.778,0.846,0.068,0.038,0.231,-0.192
test_0032,4.97,he would get one to day it would probably be on his desk when he got back he would look for it at once,He would get one today. It would probably be opposite when we got back. He would look for it as long.,He would get once a day. It would probably be opposite when we got back. He would look for his once.,1.167,2.08,0.913,0.745,0.834,0.089,0.333,0.333,0.0
test_0033,19.08,it was the youngest one who deceived me cried the robber chieftain,It was the youngest one who deceived me prior to Robert Cheaton.,"It was the youngest one who deceived me, cried the Robert Chiefs in.",1.103,1.985,0.883,0.784,0.837,0.052,0.333,0.25,0.083
test_0034,5.99,how about that now his pain at her failure to meet or write him rapidly increased as he devoted himself to this subject,How about that now? Just paint at her failure to meet a right and rapidly increase as he devoted himself to the subject.,How about that now? The pain at her failure can meet or write and rapidly increase as he devoted himself to the subject.,1.196,2.043,0.847,0.775,0.811,0.037,0.304,0.217,0.087
test_0035,-1.2,the old woman behaved very kindly to them but in reality she was a wicked old witch who way laid children and built the breadhouse in order to entice them in but as soon as they were in her power she killed them cooked and ate them and made a great festival of the day,"The old woman became very kindly to them, but in reality she was a wicked old lady, so they lay children to build the right house over to and place them in. And as they were in her power, she killed them, cooked them and ate them. And they had a great family all the day.","The orborn of the she is very kindly to them, but in reality she was a wicked old witch who lay lay children and built the threat house order to escape the men. So did they were in her power? She killed them, cooked them and ate them, and they had a great festival of the day.",1.094,1.544,0.449,0.703,0.773,0.07,0.364,0.345,0.018
test_0036,-3.56,perhaps you can outwit her yet cried another,"We're happy we can output her yet, I don't know there.","You can output for yet, right another.",1.125,1.218,0.093,0.78,0.763,-0.017,1.25,0.5,0.75
test_0037,2.58,very truly yours et cetera compromise,"Very truly yours, it's better. Compromise.","very truly yours, et cetera.",1.302,2.227,0.925,0.835,0.875,0.04,0.5,0.167,0.333
test_0038,15.35,hurstwood walked the floor mentally arranging the chief points of his situation,"Kirkwood rocks the floor, mentally arranging the chief point of the situation.","First would walk the floor, mentally arranging the chief point for the situation.",1.201,2.063,0.861,0.759,0.842,0.082,0.333,0.5,-0.167
test_0039,-1.73,if the original is still in the world i think he might defy the sun to make him look stern and hard,"If the original is still in the world, I think you might defy the sun to make it look stern and hard.","If the original is still in the world, I think you might defy the stuff to make it look stern and hard.",1.235,2.171,0.936,0.832,0.879,0.047,0.091,0.136,-0.045
test_0040,15.69,they stand unmoved in their solitary greatness well assured that they are seen of all the world without any effort to show themselves off and that no one will attempt to drive them from that position,"They stand unmoved in their solitary great, well as she rip a very scene of all the world without any effort to show themselves off, and if no one will attempt to drive them from that position.","They stand unmoves in their solitary great, well as you rip a very thin of all the world without any effort to show themselves off, and that no one will attempt to drive them from that position.",1.133,1.826,0.693,0.813,0.834,0.021,0.222,0.222,0.0
test_0041,-4.52,his first impulse was to write but four words in reply go to the devil,The first impulse was to write that four words in reply. Go to the devil.,This first impulse looks the right that forwards and requires. Go to the devil.,1.243,2.6,1.357,0.772,0.874,0.102,0.133,0.6,-0.467
test_0042,-4.7,you could get home easy too it isn't very far,"You could get all me too, isn't it very far?",you could get all things to get this very far.,1.146,1.518,0.372,0.646,0.782,0.135,0.364,0.545,-0.182
test_0043,-2.26,he was quite certain now that she knew he was married and was angered at his perfidy,You look quite certain now that she may be with Mary and the Fender that was perfected.,He was quite certain now that she didn't see what's there and was angered at his persecuting.,1.112,1.853,0.742,0.662,0.797,0.134,0.647,0.412,0.235
test_0044,-1.25,it is pretty clear also that the last rally of druidism against christianity took place behind his banner on the plain of moira,It is pretty clear also that the last valley of Buddhism is creating and it's replaced behind its banner on the plate of Gora.,"It is pretty clear also that the last rally of good is, yes, Christian, and it's placed behind his banner on the plane of Goyra.",1.115,1.713,0.598,0.679,0.783,0.104,0.478,0.435,0.043
test_0045,6.49,a faint fetid smell came from him and a thread of green liquid oozed from his crushed head,I think that it's now came for him. And after that it's green liquid to use for the squash head.,I think that it now came preventive. And that's the way to clean liquid from the frostbite.,1.188,1.75,0.562,0.762,0.846,0.084,0.889,0.944,-0.056
test_0046,12.2,occasionally one of the horses would tear off with his teeth a plant full of blossoms and walk along munching it the flowers nodding in time to his bites as he ate down toward them,"Occasionally, one of the horses would tear off with his teeth, a plant full of blossoms, and walk along muching it, the flowers nodding in time to fight at eight down for them.","Occasionally, one of the hordes would tear off with his pee, a plant full of blossom, and walk along, lunching it, the flowers nodding in time, his bites, a cake down forso.",1.304,1.897,0.592,0.685,0.761,0.075,0.2,0.286,-0.086
test_0047,6.54,it was on one of these gravel beds that i met my adventure,It was on one of these gravel beds that I met my adventure.,It was on one of these gravel beds that I met my adventure.,1.255,2.007,0.752,0.738,0.8,0.062,0.0,0.0,0.0
test_0048,-3.33,after the ceremony at the church the party went to a dinner given by the parents of the bride,"I'm happy to get along here, which is a thing that's probably going to let you know if it's about to get along.","After the ceremony in the future, I would be willing to admit that our pitch is on the fair.",1.055,1.245,0.19,0.584,0.631,0.048,1.316,0.737,0.579
test_0049,-3.96,he could arrange that satisfactorily for carrie would be glad to wait if necessary,It could arrange that side of the factory for a carry would be glad to wait if necessary.,It could arrange the satisfactory for Terry would be glad to wait if necessary.,1.14,2.193,1.053,0.74,0.852,0.112,0.5,0.286,0.214
