id,snr_db,transcript,guard_triggered,guard_triggers,hypothesis_degraded,hypothesis_deepfilternet,hypothesis_branch_a_raw,hypothesis_branch_a_guarded,pesq_degraded,pesq_deepfilternet,pesq_branch_a_raw,pesq_branch_a_guarded,stoi_degraded,stoi_deepfilternet,stoi_branch_a_raw,stoi_branch_a_guarded,wer_degraded,wer_deepfilternet,wer_branch_a_raw,wer_branch_a_guarded
test_0010,3.84,bui we should not forget our promise to our father cried the youngest daughter,False,[],"But we should not forget our promise to our father, President of this daughter.",But we should not forget our promise to our father.,But we should not forget our promise to our father.,But we should not forget our promise to our father.,1.093,1.621,1.331,1.331,0.762,0.81,0.765,0.765,0.286,0.357,0.357,0.357
test_0011,11.69,after antonia had said the new words over and over she wanted to give me a little chased silver ring she wore on her middle finger,False,[],"After Anthony, I had said the new words over and over. He wanted to give me a little cake over a ring, but he wore a her middle finger.","After Anthony, I had said the new words over and over. If you wanted to give me a little chase, go over ring, do more on her middle finger.","After Anthony, I have said the new words over and over. She wanted to give me a chance to take over rings. She wore her middle finger.","After Anthony, I have said the new words over and over. She wanted to give me a chance to take over rings. She wore her middle finger.",1.125,2.073,1.492,1.492,0.743,0.816,0.76,0.76,0.346,0.346,0.346,0.346
test_0012,13.42,there were no breastworks yet that one little brigade of hamilton's division stood there in the open and repulsed assault after assault,False,[],"There were no rest work yet that one little brigade of Hamilton's division, so they're in the open and repulse the soul after assault.","There were no rest work, yet that one little brigade of Hamilton's division does there in the open and recalls the false after assault.","There were no rest work, yet that one little brigade of Hamilton division did there in the open, and we called the fault after a fault.","There were no rest work, yet that one little brigade of Hamilton division did there in the open, and we called the fault after a fault.",1.173,2.147,1.539,1.539,0.797,0.83,0.802,0.802,0.348,0.261,0.435,0.435
test_0013,10.18,he would go in and see anyhow he would have no row,False,[],He would go in and see any help. He would have no morale.,He would go in and see any help. He would have no role.,He would go in and speed anyhow. He would have no route.,He would go in and speed anyhow. He would have no route.,1.225,1.966,1.526,1.526,0.734,0.811,0.765,0.765,0.25,0.25,0.167,0.167
test_0014,19.69,he had loved her earnestly enough but now that the possibility of losing her stared him in the face she seemed much more attractive,False,[],"He had loved her earnestly enough, but now that the possibility of losing her is spared him in the base, she seems much more attractive.","He had loved her earnestly enough, but now that the possibility of losing her stared him in the face, she seemed much more attractive.","He had loved her earnestly enough, but now that the possibility of losing her, bear him in the base, she seems much more attractive.","He had loved her earnestly enough, but now that the possibility of losing her, bear him in the base, she seems much more attractive.",1.211,1.892,1.553,1.553,0.792,0.843,0.806,0.806,0.167,0.0,0.125,0.125
test_0015,12.31,is there nothing wild in the eye continued holgrave so earnestly that it embarrassed phoebe as did also the quiet freedom with which he presumed on their so recent acquaintance,False,[],"If there's nothing wild in the eye, continue to hold raise, so earnestly that it embarrasss TV, has been also the quiet freedom of which you presumed on this so weak in the quaint.",Is there nothing wild in the eye in your whole brain? So earnestly that it embarrassed baby? Is it also the quiet freedom which you presume are there so we can take blame?,"If there's nothing wild in the eye, I think it's over there, though earnestly that it embarrassed Phoebe, as did also the quiet freedom with which he presumed on this so we can decline.","If there's nothing wild in the eye, I think it's over there, though earnestly that it embarrassed Phoebe, as did also the quiet freedom with which he presumed on this so we can decline.",1.165,2.193,1.727,1.727,0.84,0.882,0.841,0.841,0.567,0.533,0.433,0.433
test_0016,1.85,rosecrans protested it was in vain,True,['Energy collapse (ratio=0.234 < 0.25)'],Rose France broke out of it. It was insane.,Road France Road Chaplain. It was insane.,Watch France for a challenge. It was a pain.,Rose France broke out of it. It was insane.,1.188,1.784,1.468,1.188,0.698,0.801,0.756,0.698,1.333,1.0,1.167,1.333
test_0017,0.67,the distinguishing mark of the hens was a crest of lamentably scanty growth in these latter days but so oddly and wickedly analogous to hepzibah's turban that phoebe to the poignant distress of her conscience but inevitably was led to fancy a general resemblance betwixt these forlorn bipeds and her respectable relative,True,"['Energy collapse (ratio=0.196 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0035 < 0.004)']","Because the thing we should mark is in for the pressure of the mentally can't be broken. These latter days. So, are the inspicuous and elegant? Irving. That baby, the queen is the pressure of the function, but inevitably. That defense can regenerate them, which will quickly be pulled on five cents, not her respectful remedy.","So, if the single-shing loss began, we'll expect a preventively scanning growth, these latter days. So, hardly as quickly as an elegance service, that cv, the point is stretching the function, but inevitably, that depends a general residence between four to five states. That's our respect to wealth.","So this thing was she parked at the end. The pressure of the mentally can't be close. These lie to me. So far, the intensity is now like this. Perfect. That's baby. We did the pressure of the function, so that's evidently. Let the fence be in general with them. Which makes it easy to hold on five feet. That's where the pressure is moving.","Because the thing we should mark is in for the pressure of the mentally can't be broken. These latter days. So, are the inspicuous and elegant? Irving. That baby, the queen is the pressure of the function, but inevitably. That defense can regenerate them, which will quickly be pulled on five cents, not her respectful remedy.",1.122,1.278,1.296,1.122,0.72,0.789,0.774,0.72,0.906,0.868,1.189,0.906
test_0018,0.84,peter told his troubles to mister shimerda he was unable to meet a note which fell due on the first of november had to pay an exorbitant bonus on renewing it and to give a mortgage on his pigs and horses and even his milk cow,False,[],Peter told his trouble to Mr. Schmerda. He was unable to meet a note which felt he won the first seven years. He had to stay in his orbit and bonus on renewing him. And to give a mortgage on his cakes and horses leave his low count.,"Peter told his troubles to Mr. Tomato. He was unable to meet a note which tells you on the first six and a half hours. He had to pay an exorbitant bonus on renewing, and to give him mortgage on his stakes and fortunes to meet him with milk cows.","Peter told his troubles to Mr. Schmerda. He was unable to meet in those which felt he won the first event or had to pay an individual of it in bonus on the new week. And to give him mortgage on his tape, then fortunately, leave it to the bulk cow.","Peter told his troubles to Mr. Schmerda. He was unable to meet in those which felt he won the first event or had to pay an individual of it in bonus on the new week. And to give him mortgage on his tape, then fortunately, leave it to the bulk cow.",1.128,1.636,1.334,1.334,0.695,0.765,0.72,0.72,0.435,0.413,0.543,0.543
test_0019,3.33,it was evident that the race had degenerated like many a noble race besides in consequence of too strict a watchfulness to keep it pure,False,[],"It was evident that the race had degenerate, but many anocal race had died, and consequently too strict to watch with it even fewer.","It could have the rate that the generate, like many a noble rate to size, and consequence of too strict to watch for this deeper fuel.","It was evident that the rates of the generates, like many a noble rates to size, and conspent too strict to watch with it, even too.","It was evident that the rates of the generates, like many a noble rates to size, and conspent too strict to watch with it, even too.",1.142,1.633,1.535,1.535,0.821,0.878,0.845,0.845,0.56,0.68,0.6,0.6
test_0020,6.63,the white double rosebush had evidently been propped up anew against the house since the commencement of the season and a pear tree and three damson trees which except a row of currant bushes constituted the only varieties of fruit bore marks of the recent amputation of several superfluous or defective limbs,False,[],"The white double road push had evidently been crossed up by due, against the house, since the commencement of the season. And the territory between three down and three, which except the row of current pushes, constituted the only variety you could prove for marks of the recent anti-taste of several people who are prospective men.","The white double rose bush has evidently been cropped up by due against the house, since the commencement of the seas, and the territory of the three dampened trees, which protect the royal current bushes, constitute as the only variety to prove, or marks at the recent manifestations of several steeper-fluous retrospectivements.","The white double road push had evidently been cropped off by due against the house, since its commencement of the sea. And the territory, three down to the sea, which stepped a row of burned bushes, constituted the only variety of the proof, or marks of the recent temptation of several people through its respective men.","The white double road push had evidently been cropped off by due against the house, since its commencement of the sea. And the territory, three down to the sea, which stepped a row of burned bushes, constituted the only variety of the proof, or marks of the recent temptation of several people through its respective men.",1.173,1.787,1.567,1.567,0.829,0.873,0.838,0.838,0.519,0.558,0.519,0.519
test_0021,0.02,she made missus shimerda understand the friendly intention of our visit and the bohemian woman handled the loaves of bread and even smelled them and examined the pies with lively curiosity exclaiming much good much thank,True,"['Energy collapse (ratio=0.199 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0038 < 0.004)']","It may be fair to understand only in some other business. This is all you can do. You can't go to both the rest. You can even sell them and examine the size of life with curiosity and plenty. Much good, much better.","The babies are spared to understand the existence of our babies. This is what you do. This is terrible for both of us, and even self-improvement, and exhalent the pious, wisely curiosity, blaming what good, what to say.",Give me a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a spare to understand. I'll give you a,"It may be fair to understand only in some other business. This is all you can do. You can't go to both the rest. You can even sell them and examine the size of life with curiosity and plenty. Much good, much better.",1.111,1.406,1.269,1.111,0.562,0.664,0.613,0.562,0.972,0.833,10.944,0.972
test_0022,11.62,she asked peter to wait a moment and when she came back from the kitchen she brought a bag of sandwiches and doughnuts for us,False,[],She asked Peter to wait a moment and when she came back from the kitchen she brought a bag of sandwiches and donuts for us.,"She asked Peter to wait a moment. And when she came back from the kitchen, she brought a bag of sandwiches and donuts for us.","She asked Peter to wait a moment and when she came back from the kitchen, she brought a bag of sandwiches and donuts for us.","She asked Peter to wait a moment and when she came back from the kitchen, she brought a bag of sandwiches and donuts for us.",1.128,1.662,1.378,1.378,0.768,0.769,0.756,0.756,0.04,0.04,0.04,0.04
test_0023,19.81,ambrosch he make good farmer,False,[],"Ambrose, you make a good farmer.","Ambrose, you make a good farmer.","Embrose, you make it farmer.","Embrose, you make it farmer.",1.258,2.089,1.697,1.697,0.814,0.867,0.84,0.84,0.6,0.6,0.6,0.6
test_0024,-2.77,i can assure you that this is a modern face and one which you will very probably meet,True,"['Energy collapse (ratio=0.164 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0025 < 0.004)']",I can assure you that this is a modern thing. It's fun. It's a very proper thing.,I can assure you that this is a fun thing. It's one of the 30 problems you need.,I can assure you that this is modern thing. This one is very important.,I can assure you that this is a modern thing. It's fun. It's a very proper thing.,1.088,1.299,1.151,1.088,0.674,0.761,0.726,0.674,0.5,0.611,0.444,0.5
test_0025,-4.1,if i applaud the freedom which its inhabitants enjoy he answers freedom is a fine thing but few nations are worthy to enjoy it,True,"['Energy collapse (ratio=0.202 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0030 < 0.004)', 'Severe spectral distortion (flatness_ratio=0.039 < 0.04)']","If I am full of the fleet, we have the joy key on. Freedom is a fine thing. A few nations are working to enjoy it.","If I am wrong, I'm afraid it. It's a joy. It's a joy. It's a joy. It's a joy. It's a fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing. A fun thing.",Do you find a ball to play this? Do you have a joint beyond? Freedom is a fine thing. A few nations up where? To the joint.,"If I am full of the fleet, we have the joy key on. Freedom is a fine thing. A few nations are working to enjoy it.",1.12,1.225,1.217,1.12,0.683,0.689,0.704,0.683,0.5,13.792,0.792,0.5
test_0026,8.85,the merchant's daughter at first did not answer but as he kept on calling to her she finally asked him what it was that he wanted,False,[],"The merchant's daughter at first did not answer, but as he kept them calling their her, she finally asked him what it was that he wanted.","The merchant's daughter at first did not answer, but as he kept on calling to her, she finally asked him what it was that he wanted.","The merchant's daughter at first did not answer, but as the captain calling her, she finally asked him what it was that he wanted.","The merchant's daughter at first did not answer, but as the captain calling her, she finally asked him what it was that he wanted.",1.126,2.147,1.471,1.471,0.818,0.849,0.825,0.825,0.074,0.0,0.148,0.148
test_0027,17.98,he survived the war only to be murdered later on a plantation in mississippi,False,[],He survived the war only to be murdered later on a plantation in Mississippi.,He survived the war only to be murdered later on a plantation in Mississippi.,He survived the war only to be murdered later on a plantation in Mississippi.,He survived the war only to be murdered later on a plantation in Mississippi.,1.103,1.74,1.327,1.327,0.76,0.815,0.767,0.767,0.0,0.0,0.0,0.0
test_0028,-2.09,at one thirty he went to rector's for lunch and when he returned a messenger was waiting for him,False,[],"At 130, he went to record the launch, and then he returned, but that's where he was waiting for him.",A 130 he went to record the launch and the he returned the bus there was waiting for him.,"A 130-foot specter with us, and only for turn, the bus here was waiting for him.","A 130-foot specter with us, and only for turn, the bus here was waiting for him.",1.1,1.533,1.261,1.261,0.641,0.744,0.69,0.69,0.6,0.55,0.75,0.75
test_0029,14.75,every year at a certain day of a certain month he went away to a distant city to collect money on an account,False,[],"Every year, at a certain day of a 13 months, you went away to a different city to collect money when they come.","Every year at a certain day of a certain month, you went away to a distance city to collect money when they count.","Every year at a certain day of a certain month, you went away to a different city to collect money when they count.","Every year at a certain day of a certain month, you went away to a different city to collect money when they count.",1.106,2.071,1.448,1.448,0.814,0.864,0.831,0.831,0.348,0.217,0.217,0.217
test_0030,3.65,no letter had come no word of any kind and yet here it was late in the evening and she had agreed to meet him that morning,False,[],"The weather had come, the words at any time, and yet here it was late in the evening, and she had agreed to meet us at morning.","The letter hits up, the word at any time, and yet here it was, late isn't easy. And she had agreed to meet in that morning.","The letter has passed, the words at times, and yet here it was, later the evening, and she had agreed to meet us that morning.","The letter has passed, the words at times, and yet here it was, later the evening, and she had agreed to meet us that morning.",1.139,1.665,1.302,1.302,0.696,0.788,0.733,0.733,0.296,0.37,0.407,0.407
test_0031,18.07,for some reason he felt as if something might come that way and was relieved when all the envelopes had been scanned and nothing suspicious noticed,False,[],"For some reason, he felt as if something might come that way and was relieved when all the envelopes had been scanned as nothing suspicious noticed.","For some reason, he tells us if something might come that way and was released when all the envelopes have been scanned is nothing suspicious notice.","For some reason, he felt as if something might come that way and was released when all the envelopes had been scanned as nothing suspicious noticed.","For some reason, he felt as if something might come that way and was released when all the envelopes had been scanned as nothing suspicious noticed.",1.161,2.088,1.536,1.536,0.778,0.846,0.808,0.808,0.038,0.231,0.077,0.077
test_0032,4.97,he would get one to day it would probably be on his desk when he got back he would look for it at once,False,[],He would get one today. It would probably be opposite when we got back. He would look for it as long.,He would get once a day. It would probably be opposite when we got back. He would look for his once.,He would get one today. It would probably be off the desk when we got back. He would look for it at once.,He would get one today. It would probably be off the desk when we got back. He would look for it at once.,1.167,2.08,1.567,1.567,0.745,0.834,0.774,0.774,0.333,0.333,0.208,0.208
test_0033,19.08,it was the youngest one who deceived me cried the robber chieftain,False,[],It was the youngest one who deceived me prior to Robert Cheaton.,"It was the youngest one who deceived me, cried the Robert Chiefs in.",It was the youngest one who deceived me by the rubber chiefs.,It was the youngest one who deceived me by the rubber chiefs.,1.103,1.985,1.348,1.348,0.784,0.837,0.779,0.779,0.333,0.25,0.25,0.25
test_0034,5.99,how about that now his pain at her failure to meet or write him rapidly increased as he devoted himself to this subject,False,[],How about that now? Just paint at her failure to meet a right and rapidly increase as he devoted himself to the subject.,How about that now? The pain at her failure can meet or write and rapidly increase as he devoted himself to the subject.,How about that now? His pain at her failure to meet a right and rapidly increased as he devoted himself to the subject.,How about that now? His pain at her failure to meet a right and rapidly increased as he devoted himself to the subject.,1.196,2.043,1.628,1.628,0.775,0.811,0.777,0.777,0.304,0.217,0.174,0.174
test_0035,-1.2,the old woman behaved very kindly to them but in reality she was a wicked old witch who way laid children and built the breadhouse in order to entice them in but as soon as they were in her power she killed them cooked and ate them and made a great festival of the day,False,[],"The old woman became very kindly to them, but in reality she was a wicked old lady, so they lay children to build the right house over to and place them in. And as they were in her power, she killed them, cooked them and ate them. And they had a great family all the day.","The orborn of the she is very kindly to them, but in reality she was a wicked old witch who lay lay children and built the threat house order to escape the men. So did they were in her power? She killed them, cooked them and ate them, and they had a great festival of the day.","The old woman became very kindly to them, but in reality she was a beginner with which, as they lay children, to build the right house over to his face and then, as they were in her power, she killed them, who exterminated them, and made a great passion for the day.","The old woman became very kindly to them, but in reality she was a beginner with which, as they lay children, to build the right house over to his face and then, as they were in her power, she killed them, who exterminated them, and made a great passion for the day.",1.094,1.544,1.242,1.242,0.703,0.773,0.731,0.731,0.364,0.345,0.418,0.418
test_0036,-3.56,perhaps you can outwit her yet cried another,False,[],"We're happy we can output her yet, I don't know there.","You can output for yet, right another.",I have to get out with her yet. I don't know there.,I have to get out with her yet. I don't know there.,1.125,1.218,1.194,1.194,0.78,0.763,0.79,0.79,1.25,0.5,1.375,1.375
test_0037,2.58,very truly yours et cetera compromise,False,[],"Very truly yours, it's better. Compromise.","very truly yours, et cetera.","Very truly yours, it's better. Compromise.","Very truly yours, it's better. Compromise.",1.302,2.227,1.746,1.746,0.835,0.875,0.847,0.847,0.5,0.167,0.5,0.5
test_0038,15.35,hurstwood walked the floor mentally arranging the chief points of his situation,False,[],"Kirkwood rocks the floor, mentally arranging the chief point of the situation.","First would walk the floor, mentally arranging the chief point for the situation.","First, we'll walk the floor, mentally arranging the chief point of the situation.","First, we'll walk the floor, mentally arranging the chief point of the situation.",1.201,2.063,1.632,1.632,0.759,0.842,0.765,0.765,0.333,0.5,0.5,0.5
test_0039,-1.73,if the original is still in the world i think he might defy the sun to make him look stern and hard,True,['Severe spectral distortion (flatness_ratio=0.036 < 0.04)'],"If the original is still in the world, I think you might defy the sun to make it look stern and hard.","If the original is still in the world, I think you might defy the stuff to make it look stern and hard.","If the original is still in the world, I think it might defy the stuff to make it look stern and hard.","If the original is still in the world, I think you might defy the sun to make it look stern and hard.",1.235,2.171,1.731,1.235,0.832,0.879,0.835,0.832,0.091,0.136,0.136,0.091
test_0040,15.69,they stand unmoved in their solitary greatness well assured that they are seen of all the world without any effort to show themselves off and that no one will attempt to drive them from that position,False,[],"They stand unmoved in their solitary great, well as she rip a very scene of all the world without any effort to show themselves off, and if no one will attempt to drive them from that position.","They stand unmoves in their solitary great, well as you rip a very thin of all the world without any effort to show themselves off, and that no one will attempt to drive them from that position.","They stand unmoved in their solitary great well assured that they are seen of all the world without any effort to show themselves off, and that no one will attempt to drive them from that position.","They stand unmoved in their solitary great well assured that they are seen of all the world without any effort to show themselves off, and that no one will attempt to drive them from that position.",1.133,1.826,1.419,1.419,0.813,0.834,0.815,0.815,0.222,0.222,0.028,0.028
test_0041,-4.52,his first impulse was to write but four words in reply go to the devil,True,"['Tonal peakiness/musical noise (flatness=0.0033 < 0.004)', 'Severe spectral distortion (flatness_ratio=0.020 < 0.04)']",The first impulse was to write that four words in reply. Go to the devil.,This first impulse looks the right that forwards and requires. Go to the devil.,This first impulse was to write those four words in reply. Go to the demo.,The first impulse was to write that four words in reply. Go to the devil.,1.243,2.6,1.615,1.243,0.772,0.874,0.788,0.772,0.133,0.6,0.2,0.133
test_0042,-4.7,you could get home easy too it isn't very far,True,"['Energy collapse (ratio=0.204 < 0.25)', 'Tonal peakiness/musical noise (flatness=0.0034 < 0.004)']","You could get all me too, isn't it very far?",you could get all things to get this very far.,"You could get all you could do, but there's a very far.","You could get all me too, isn't it very far?",1.146,1.518,1.247,1.146,0.646,0.782,0.722,0.646,0.364,0.545,0.727,0.364
test_0043,-2.26,he was quite certain now that she knew he was married and was angered at his perfidy,False,[],You look quite certain now that she may be with Mary and the Fender that was perfected.,He was quite certain now that she didn't see what's there and was angered at his persecuting.,He was quite certain now that T. Nancy was married at the favor that was supposed to be.,He was quite certain now that T. Nancy was married at the favor that was supposed to be.,1.112,1.853,1.266,1.266,0.662,0.797,0.721,0.721,0.647,0.412,0.647,0.647
test_0044,-1.25,it is pretty clear also that the last rally of druidism against christianity took place behind his banner on the plain of moira,False,[],It is pretty clear also that the last valley of Buddhism is creating and it's replaced behind its banner on the plate of Gora.,"It is pretty clear also that the last rally of good is, yes, Christian, and it's placed behind his banner on the plane of Goyra.","It is pretty clear also, but the last row we need a fluidism to get pushing in is to place behind his banner on the plate of Voirup.","It is pretty clear also, but the last row we need a fluidism to get pushing in is to place behind his banner on the plate of Voirup.",1.115,1.713,1.259,1.259,0.679,0.783,0.709,0.709,0.478,0.435,0.609,0.609
test_0045,6.49,a faint fetid smell came from him and a thread of green liquid oozed from his crushed head,False,[],I think that it's now came for him. And after that it's green liquid to use for the squash head.,I think that it now came preventive. And that's the way to clean liquid from the frostbite.,"I think that it's now came for us. And after that, it's green liquid and it's flushed had.","I think that it's now came for us. And after that, it's green liquid and it's flushed had.",1.188,1.75,1.635,1.635,0.762,0.846,0.784,0.784,0.889,0.944,0.944,0.944
